연번,상가유형,호선,역명,상가번호,면적(제곱미터),영업업종,계약시작일자,계약종료일자,월임대료,사업진행단계
1,개별(일반),1호선,서울(1)역,150-107,33,사무실,2019-06-20,2024-06-19,380100,
2,네트워크,1호선,서울(1)역,150-109,12,패션잡화,2023-01-16,2028-05-16,3225582,
3,개별(일반),1호선,서울(1)역,151-101,29.73,패션잡화,2022-08-02,2027-08-02,3166600,
4,개별(일반),1호선,시청(1)역,151-103,57.6,기타,2020-02-01,2025-01-31,1858300,
5,개별(일반),1호선,시청(1)역,151-104,25,플라워,2020-12-31,2026-01-30,2470600,
6,네트워크,1호선,시청(1)역,151-105,25,식음료,2021-06-03,2026-08-02,4145884,
7,개별(일반),1호선,시청(1)역,151-106,14,패션잡화,2017-09-19,2024-11-17,1805400,
8,개별(일반),1호선,시청(1)역,151-107,22,패션잡화,2020-09-18,2025-10-18,2613800,
9,공실,1호선,종각역,152-101,36.85,,,,,1단계. 사업계획 수립중
10,개별(일반),1호선,종각역,152-104,18.64,플라워,2023-02-09,2028-03-11,3471600,
11,네트워크,1호선,종각역,152-105,29.3,편의점,2022-06-09,2027-08-08,6559320,
12,개별(일반),1호선,종각역,152-106,30.7,기타,2023-06-23,2028-07-23,2961100,
13,개별(일반),1호선,종각역,152-107,11,플라워,2021-10-06,2026-11-05,2450000,
14,개별(일반),1호선,종각역,152-108,12,식음료,2021-08-23,2026-09-22,5680000,
15,개별(일반),1호선,종각역,152-110,23.14,패션잡화,2022-08-08,2027-09-07,2310000,
16,개별(일반),1호선,종각역,152-113,19.14,식음료,2022-08-08,2027-09-07,4330000,
17,개별(일반),1호선,종각역,152-114,29.62,의약업,2023-06-19,2028-07-19,7511100,
18,개별(일반),1호선,종각역,152-115,29.4,식음료,2020-02-24,2025-03-25,8130000,
19,개별(일반),1호선,종로3가(1)역,153-101,23.4,편의점,2018-10-23,2023-11-21,2260000,
20,개별(일반),1호선,종로3가(1)역,153-102,17.6,식음료,2021-08-13,2026-09-12,3550000,
21,네트워크,1호선,종로3가(1)역,153-104,18.05,플라워,2022-10-21,2028-02-18,2261006,
22,개별(일반),1호선,종로3가(1)역,153-106,26,기타,2018-08-14,2023-09-12,4350000,
23,공실,1호선,종로3가(1)역,153-107,63.95,,,,,2단계. 시설물 점검
24,개별(일반),1호선,종로5가역,154-101,25.13,기타,2021-09-03,2026-10-03,5310000,
25,개별(일반),1호선,종로5가역,154-107,16.16,패션잡화,2021-09-02,2026-10-02,4110000,
26,개별(일반),1호선,동대문(1)역,155-101,28.48,패션잡화,2023-06-19,2028-07-19,5240000,
27,개별(일반),1호선,동묘앞(1)역,159-201,17.7,식음료,2020-10-19,2025-11-18,3550000,
28,공실,2호선,을지로입구역,202-101,85.1,,,,,1단계. 사업계획 수립중
29,개별(일반),2호선,을지로입구역,202-102,16.7,기타,2021-08-19,2026-08-19,14500000,
30,개별(일반),2호선,을지로입구역,202-103,17.2,기타,2022-06-07,2027-06-07,15450000,
31,개별(일반),2호선,을지로입구역,202-104,17.2,편의점,2019-10-15,2024-11-13,14993000,
32,개별(일반),2호선,을지로입구역,202-105,16.7,기타,2019-12-12,2025-01-10,14403100,
33,개별(일반),2호선,을지로입구역,202-106,33.9,패션잡화,2021-06-07,2026-07-07,8176600,
34,개별(일반),2호선,을지로입구역,202-108,32.51,식음료,2021-01-04,2026-02-03,12350000,
35,개별(대형),2호선,을지로입구역,202-110,32.2,기타,2023-02-27,2028-05-28,1061604,
36,개별(일반),2호선,을지로입구역,202-111,17.6,의약업,2021-01-04,2026-02-03,6150000,
37,개별(일반),2호선,을지로입구역,202-113,19.47,패션잡화,2023-05-24,2028-06-23,4258300,
38,개별(대형),2호선,을지로입구역,202-114,180,기타,2023-02-27,2028-05-28,44049396,
39,개별(대형),2호선,을지로입구역,202-119,,기타,2023-02-27,2028-05-28,,
40,개별(일반),2호선,을지로입구역,202-115,26.82,식음료,2020-12-21,2026-01-20,5600000,
41,개별(일반),2호선,을지로입구역,202-116,75.95,식음료,2017-11-07,2024-12-06,16177400,
42,네트워크,2호선,을지로입구역,202-117,16,식음료,2021-02-01,2026-06-01,4964659,
43,네트워크,2호선,을지로입구역,202-118,40,패션잡화,2021-06-03,2026-08-02,5081616,
44,네트워크,2호선,을지로입구역,202-120,19,플라워,2018-11-27,2024-01-25,1914866,
45,임대진행,2호선,을지로입구역,202-M21,76,,,,,3단계. 감정평가
46,개별(일반),2호선,을지로3가(2)역,203-101,16.2,패션잡화,2020-10-14,2025-11-13,823300,
47,개별(일반),2호선,을지로3가(2)역,203-102,16.2,기타,2020-11-02,2025-12-02,603600,
48,개별(일반),2호선,을지로3가(2)역,203-108,11.5,기타,2022-07-28,2027-07-27,636000,
49,개별(일반),2호선,을지로3가(2)역,203-110,11.5,플라워,2019-04-02,2024-05-01,816600,
50,개별(일반),2호선,을지로3가(2)역,203-112,26,플라워,2019-04-02,2024-05-01,1259100,
51,개별(일반),2호선,을지로3가(2)역,203-114,13,기타,2022-02-21,2027-03-23,905000,
52,개별(일반),2호선,을지로3가(2)역,203-115,18.96,패션잡화,2020-11-26,2026-01-10,450000,
53,개별(일반),2호선,을지로3가(2)역,203-116,27.9,식음료,2022-10-14,2027-11-13,1645000,
54,개별(일반),2호선,을지로3가(2)역,203-119,25,플라워,2023-06-19,2028-07-19,1710000,
55,개별(일반),2호선,을지로4가(2)역,204-105,22.84,기타,2022-04-01,2027-04-01,1040000,
56,개별(일반),2호선,을지로4가(2)역,204-107,23.2,패션잡화,2022-07-28,2027-07-27,501000,
57,개별(일반),2호선,을지로4가(2)역,204-108,14.9,패션잡화,2021-06-16,2026-07-16,330000,
58,임대진행,2호선,을지로4가(2)역,204-109,14.9,,,,,5단계. 입찰공고
59,개별(일반),2호선,을지로4가(2)역,204-110,14.9,기타,2023-05-08,2028-06-07,620000,
60,네트워크,2호선,을지로4가(2)역,204-112,38,식음료,2023-02-17,2025-02-16,2161008,
61,개별(일반),2호선,을지로4가(2)역,204-113,32.8,식음료,2020-11-02,2025-12-02,1466600,
62,개별(일반),2호선,동대문역사문화공원(2)역,205-101,62.2,사무실,2021-04-14,2026-05-14,1452000,
63,네트워크,2호선,동대문역사문화공원(2)역,205-103,31.69,패션잡화,2018-11-16,2024-01-14,6039300,
64,네트워크,2호선,동대문역사문화공원(2)역,205-104,32.5,식음료,2021-02-01,2026-06-01,11100210,
65,개별(일반),2호선,동대문역사문화공원(2)역,205-105,12,식음료,2021-01-04,2026-02-03,4310000,
66,개별(일반),2호선,동대문역사문화공원(2)역,205-106,25.7,편의점,2022-02-21,2027-03-23,7122000,
67,개별(일반),2호선,동대문역사문화공원(2)역,205-107,45.64,패션잡화,2023-02-06,2028-03-08,9310000,
68,네트워크,2호선,동대문역사문화공원(2)역,205-109,19.5,식음료,2022-12-02,2028-04-01,5059793,
69,개별(일반),2호선,신당(2)역,206-101,14.82,식음료,2020-12-21,2026-01-20,1100000,
70,개별(일반),2호선,신당(2)역,206-102,11,기타,2018-11-06,2023-12-05,850000,
71,네트워크,2호선,상왕십리역,207-101,30.6,화장품,2020-12-23,2026-03-23,2666031,
