,역명,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분
0,가락시장역,15.55,14.02,16.52,18.6,26.22,29.5,33.85,37.9,38.35,40.25,38.97,43.05,42.4,51.3,49.47,48.05,44.72,49.0,51.2,51.88,56.55,56.4,56.82,52.32,48.28,43.55,39.85,33.52,32.83,35.5,39.35,33.75,34.72,29.42,23.1,16.52
1,가산디지털단지역,17.05,15.88,13.72,16.42,23.1,25.48,29.28,31.42,30.35,29.7,32.78,32.1,30.22,35.1,34.28,32.4,32.65,34.8,33.78,37.98,39.9,42.78,43.0,39.8,38.55,32.1,29.75,27.8,25.4,25.0,25.08,27.42,23.5,22.8,22.4,12.2
2,강남구청역,21.22,16.65,17.77,21.1,24.92,27.92,33.35,33.6,31.12,33.47,35.85,38.88,39.83,41.02,40.33,41.02,39.15,42.0,41.62,45.42,49.02,56.55,50.2,49.78,44.62,40.25,37.6,32.2,31.75,34.75,32.45,30.55,30.72,27.4,24.15,16.55
3,강남역,14.48,13.1,13.38,15.52,20.95,26.65,31.9,31.15,35.95,34.28,36.8,43.45,42.92,43.28,44.97,48.72,44.25,45.25,49.4,47.35,56.82,55.6,53.22,47.55,45.3,45.58,39.6,32.5,35.85,41.15,41.38,41.15,41.8,34.85,31.58,21.18
4,강동구청역,13.55,12.1,14.63,14.63,22.22,23.2,30.9,31.85,28.95,28.75,28.05,31.68,30.12,36.35,33.9,35.15,33.4,35.42,34.62,36.75,38.4,41.05,39.92,37.78,39.28,30.4,28.17,25.08,23.2,24.48,25.67,25.25,26.02,18.3,14.55,11.7
5,강동역,12.22,11.18,15.48,17.77,25.15,25.05,35.15,28.38,32.1,37.25,34.67,33.62,37.92,43.7,37.83,39.55,40.65,37.25,39.2,46.3,46.68,45.0,49.1,40.45,36.83,35.3,32.22,22.5,26.45,33.62,25.72,28.88,26.3,23.22,14.82,13.52
6,강변역,9.5,6.9,8.05,11.05,16.77,17.5,20.4,22.8,24.48,23.72,29.1,32.22,30.55,35.83,33.6,33.42,32.83,32.2,36.22,39.38,37.9,40.8,41.05,35.38,33.92,35.22,32.48,28.05,22.78,30.08,28.52,27.75,26.98,19.55,20.1,16.3
7,강일역,9.72,9.05,8.85,12.1,16.58,19.45,22.45,21.62,25.68,23.7,22.02,23.0,24.05,24.95,25.33,23.85,23.58,24.02,24.83,25.78,27.1,27.52,27.28,27.42,24.88,29.75,20.45,17.82,16.82,15.95,17.65,15.52,17.05,15.85,11.68,15.1
8,개롱역,7.6,7.0,8.52,10.98,15.92,15.68,19.3,18.68,19.38,18.95,17.8,18.95,20.62,19.82,22.62,19.48,18.68,18.62,19.42,21.67,21.2,20.55,21.95,17.58,18.82,16.88,13.6,12.08,10.1,11.65,11.68,10.35,10.73,8.78,8.48,5.7
9,개화산역,1.75,1.52,1.5,2.05,2.52,3.08,3.35,3.47,3.35,3.25,3.7,3.48,3.82,3.5,3.78,3.65,3.35,3.38,3.42,3.4,3.78,3.55,3.82,3.12,3.18,2.82,2.55,1.9,1.92,1.75,1.9,1.68,2.02,1.48,1.12,1.02
10,거여역,5.07,4.6,6.1,7.45,10.48,11.2,13.68,13.15,13.55,13.1,12.08,12.7,13.05,12.75,13.65,12.18,11.98,11.7,11.72,13.1,12.35,11.72,11.68,10.48,9.72,8.75,8.18,6.3,5.68,5.9,5.85,5.18,6.32,4.62,4.25,2.55
11,건대입구역,25.4,19.62,20.55,27.18,30.52,33.78,40.95,38.72,35.85,34.15,39.78,39.1,38.45,42.38,40.75,40.25,37.58,41.98,42.25,46.68,52.65,54.38,52.05,53.42,46.38,45.15,42.7,35.78,36.95,39.1,39.5,39.33,38.6,32.22,32.2,24.02
12,경복궁역,12.18,10.95,11.8,16.15,22.28,25.85,30.02,33.95,31.58,32.35,34.8,34.52,34.08,37.0,33.57,37.38,36.95,40.12,37.62,43.18,42.78,47.58,46.0,45.28,40.7,39.17,32.15,27.42,26.25,30.12,29.7,27.0,27.95,21.32,19.55,12.08
13,경찰병원역,3.1,1.5,1.8,1.6,2.2,3.0,3.25,3.25,3.4,4.0,2.9,3.7,4.85,4.0,4.9,4.75,3.95,4.05,5.5,6.0,5.7,6.55,7.95,7.8,5.5,6.45,4.65,5.1,4.9,5.25,5.0,5.15,5.55,7.2,5.25,3.65
14,고덕역,8.43,14.23,13.9,16.52,22.75,28.22,31.68,27.33,34.35,33.35,32.72,33.12,35.33,36.22,36.33,34.72,34.15,35.17,36.28,37.28,39.2,42.65,39.6,40.03,35.3,31.83,29.83,22.4,24.55,23.12,25.75,21.98,26.15,21.68,17.75,13.75
15,고려대역,9.0,8.73,9.8,12.58,18.32,20.83,22.58,22.05,22.92,22.65,21.95,24.45,25.05,26.6,28.55,28.65,27.1,26.08,25.9,26.28,28.45,27.85,29.45,27.82,25.78,25.0,19.05,17.75,16.25,16.95,18.67,19.7,16.27,15.0,15.73,12.72
16,고속터미널역,21.35,13.92,16.08,18.27,23.1,26.17,30.52,31.1,29.85,31.48,33.78,38.72,36.15,38.9,39.9,38.02,37.07,41.2,40.53,44.92,44.08,59.2,48.0,50.55,43.35,40.98,37.15,33.1,34.22,37.6,36.15,33.3,31.68,29.72,23.02,15.3
17,공덕역,9.45,8.85,10.98,12.02,16.05,18.6,23.65,24.72,25.68,28.35,30.17,31.75,33.45,37.8,36.65,37.45,37.12,39.02,38.38,39.03,41.82,43.08,42.4,38.12,35.67,29.62,24.95,22.78,21.05,22.85,23.38,22.92,23.75,21.58,18.75,11.1
18,공릉역,15.72,13.88,16.1,19.85,25.05,28.02,32.52,33.15,31.6,29.78,28.67,32.17,29.75,31.4,31.28,31.0,31.25,29.82,33.35,33.2,35.45,36.83,38.55,34.1,31.38,26.75,25.3,22.95,19.88,22.28,24.0,20.32,21.48,17.38,16.38,15.3
19,광나루역,19.15,14.08,15.6,19.62,26.35,29.3,34.05,35.47,37.22,36.95,37.0,41.08,40.05,43.95,44.97,40.92,42.6,44.08,44.68,47.28,51.45,52.98,52.97,48.75,45.95,35.95,33.1,30.22,29.88,35.58,32.05,36.22,28.08,26.58,20.1,18.62
20,광명사거리역,14.15,15.22,13.9,16.7,19.6,24.9,27.83,26.52,27.7,29.18,28.0,27.38,29.85,29.45,27.85,29.33,30.65,26.3,30.65,33.08,32.83,33.75,37.28,31.05,30.08,26.15,25.2,21.78,19.25,20.65,19.92,20.65,18.77,18.67,15.92,8.68
21,광화문역,8.57,7.38,9.73,10.12,13.55,15.25,19.05,20.4,20.9,24.02,25.4,26.65,28.95,32.25,32.75,32.83,33.12,36.28,37.1,38.78,41.58,45.38,43.0,38.7,36.4,30.08,25.92,24.7,23.3,28.58,26.2,21.9,21.17,17.6,15.22,7.78
22,광흥창역,7.8,5.48,7.55,8.28,11.22,13.52,16.02,17.48,18.1,19.15,19.27,21.42,22.58,27.48,25.12,25.52,24.68,25.18,25.45,27.65,28.62,30.83,30.35,30.93,26.58,24.22,21.5,18.17,17.9,17.23,19.3,18.7,21.38,19.65,15.98,10.62
23,교대역,16.9,14.85,14.4,17.82,23.65,31.4,38.7,36.58,38.58,39.68,37.45,48.0,44.38,44.9,50.75,51.02,46.0,49.2,48.52,48.12,59.38,58.88,54.15,50.22,48.55,49.6,42.72,36.88,38.55,41.82,45.28,43.12,42.85,37.68,30.82,22.65
24,구로디지털단지역,19.2,14.73,14.55,16.27,25.95,26.28,32.8,34.25,32.28,35.58,33.3,37.78,36.08,39.98,43.8,41.78,37.1,41.7,37.58,38.2,49.72,50.22,43.08,41.6,40.65,40.55,31.25,32.7,31.72,27.3,36.33,31.13,35.55,36.95,28.88,28.52
25,구산역,6.6,6.35,8.3,10.15,13.35,14.8,17.75,18.65,20.6,19.2,18.95,19.55,21.25,22.2,22.85,21.3,22.9,21.55,22.2,22.3,22.3,25.3,23.95,21.25,19.45,17.15,12.95,12.45,11.55,10.6,10.8,9.4,10.6,10.25,5.35,3.15
26,구의역,10.65,8.02,9.02,12.12,17.8,18.48,21.1,22.75,25.25,24.58,29.22,32.62,31.7,36.2,35.42,34.5,33.85,32.12,38.9,40.03,38.88,42.3,41.45,37.55,32.9,36.35,32.85,28.3,23.05,29.85,28.15,27.5,26.52,20.1,21.05,17.95
27,구파발역,11.05,6.15,7.58,9.57,14.95,15.32,20.45,17.2,20.6,21.5,22.95,16.18,23.65,16.83,22.75,17.17,25.65,17.65,23.82,18.83,28.28,20.82,28.3,19.52,21.3,22.67,13.25,18.12,11.62,16.48,16.98,13.72,14.3,14.1,10.45,1.78
