,역명,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
0,가락시장역,24.25,29.95,39.65,52.9,77.95,99.2,95.75,77.1,64.45,47.95,41.5,38.0,39.1,41.3,40.95,42.7,41.05,39.9,44.0,46.35,49.5,58.0,65.95,88.4,91.0,114.65,95.1,70.8,48.5,42.8,45.05,48.55,44.3,46.15,38.0,28.45,21.35,10.5,6.75
1,가산디지털단지역,41.25,31.0,37.4,49.75,64.4,66.6,51.55,41.9,34.3,28.45,24.15,26.4,22.85,25.95,26.4,28.9,26.05,27.45,26.6,30.7,32.8,40.65,48.3,68.0,83.25,98.65,84.6,61.95,49.05,38.15,37.75,38.9,36.3,35.15,33.3,31.45,18.75,10.3,10.5
2,강남구청역,19.35,35.5,30.25,42.25,58.45,70.7,54.2,50.4,52.55,39.45,33.65,29.25,30.1,28.95,32.4,32.5,31.7,31.65,33.2,36.85,40.6,45.45,54.8,68.1,73.75,91.5,79.05,60.85,49.55,45.3,42.45,48.75,45.5,49.9,37.75,26.4,23.4,11.9,11.25
3,강남역,39.45,23.55,29.25,38.7,54.95,73.9,79.85,68.1,57.0,40.0,44.85,35.65,40.6,44.15,43.45,45.15,48.95,45.6,47.05,58.35,56.2,64.85,66.2,90.7,88.65,100.8,96.55,70.85,51.85,48.55,48.45,61.25,68.8,65.3,39.75,36.85,20.55,19.45,11.0
4,강동구청역,19.6,28.05,36.55,46.3,61.2,81.2,66.6,62.05,45.5,34.95,27.8,28.1,28.05,28.3,29.05,31.3,28.95,27.7,31.05,33.9,36.75,41.7,45.95,59.5,64.55,66.2,77.65,46.0,41.05,31.95,32.1,32.75,30.9,35.4,25.55,22.05,16.05,8.65,5.65
5,강동역,15.15,23.1,33.25,36.7,53.25,80.5,59.6,46.75,36.9,29.9,33.65,31.85,29.85,37.55,34.3,31.9,35.55,33.55,31.85,34.75,43.0,44.25,51.6,47.9,52.2,57.25,68.9,51.65,40.95,37.65,32.65,33.45,33.75,31.5,29.0,23.5,15.2,9.6,6.65
6,강변역,15.3,17.15,17.0,27.75,38.6,60.1,47.05,36.8,35.2,22.6,22.1,29.2,23.5,26.35,29.3,27.25,26.65,28.8,27.9,30.7,33.55,32.15,38.25,44.1,39.0,51.8,57.15,34.3,25.7,27.5,24.95,31.5,33.0,32.05,21.65,16.0,11.85,10.45,8.95
7,강일역,18.5,20.35,27.2,39.65,48.7,48.75,40.85,34.15,25.0,20.95,18.45,19.0,18.7,19.65,19.65,20.8,19.95,18.85,18.7,21.15,22.45,27.15,29.55,31.45,38.3,46.7,40.25,31.45,23.95,22.8,21.75,20.55,18.95,21.25,17.95,14.8,10.4,5.45,4.9
8,개롱역,12.15,13.3,17.0,28.05,37.3,44.05,37.15,26.45,18.9,17.65,16.8,15.4,16.3,18.85,17.8,18.5,18.55,18.35,17.95,19.4,21.9,26.6,31.55,22.4,19.8,31.25,31.25,25.45,22.1,17.6,18.0,16.9,15.6,17.95,13.45,11.55,6.8,2.8,4.4
9,개화산역,4.65,3.1,3.75,6.0,7.4,7.0,5.65,4.2,3.95,3.55,3.2,3.3,3.35,3.95,3.6,3.8,4.2,3.6,3.55,3.7,3.9,4.25,4.5,4.3,4.65,6.0,5.4,4.1,3.05,3.1,2.8,2.6,2.35,2.65,1.95,1.45,1.0,1.1,0.75
10,거여역,9.5,9.35,13.55,21.45,27.7,31.5,25.75,19.25,13.15,12.35,11.15,10.1,10.45,12.0,11.3,11.3,10.55,11.2,10.15,11.15,12.4,14.75,17.5,12.2,10.6,15.65,16.1,12.65,11.2,9.15,8.75,8.75,8.4,8.05,6.3,5.95,3.25,1.3,2.65
11,건대입구역,30.0,37.75,39.8,54.3,70.7,81.55,65.35,64.25,59.4,42.7,34.15,31.55,31.85,31.65,33.55,36.65,32.65,33.35,36.95,40.05,43.15,51.3,58.1,72.1,82.15,86.45,90.85,57.85,54.85,50.65,47.2,54.8,54.15,55.95,45.4,31.25,28.7,22.1,11.4
12,경복궁역,22.75,24.4,30.4,41.45,60.85,81.75,59.95,48.75,43.65,39.2,38.1,34.8,32.7,35.95,42.1,43.9,40.65,32.9,39.0,45.15,54.6,57.1,52.95,68.15,79.2,81.7,72.7,54.2,42.45,34.75,33.05,32.15,34.75,32.25,31.9,22.95,16.7,10.2,4.55
13,경찰병원역,4.4,8.35,7.65,11.05,16.4,20.0,15.35,12.5,6.4,6.5,6.1,6.4,7.55,8.05,6.15,6.55,6.35,7.25,7.55,7.35,7.05,12.35,12.15,15.15,12.8,14.1,15.45,10.6,6.45,5.4,5.7,5.05,6.35,6.35,5.1,4.1,3.25,1.4,0.75
14,고덕역,17.45,20.2,37.75,32.6,54.7,71.3,52.5,44.7,35.75,30.3,29.55,31.4,29.3,32.9,31.5,31.6,31.95,29.8,31.5,34.0,36.3,44.85,48.9,50.7,54.65,58.05,65.0,50.1,39.9,36.75,33.4,32.75,30.95,33.15,26.7,22.9,13.4,7.35,6.45
15,고려대역,12.9,15.05,18.35,26.55,40.7,55.45,46.45,42.8,32.1,28.25,20.45,23.9,22.8,23.4,24.5,24.1,23.3,21.7,23.1,26.8,25.9,29.4,34.15,38.65,47.5,54.0,54.3,40.0,26.2,20.25,20.9,23.4,23.25,23.35,19.7,14.8,9.65,7.0,4.9
