역명,time5_9,time9_12,time12_15,time15_18,time18_21,time21_24,역면적,역내엘리베이터개수,역내엘리베이터용량최대,역외엘리베이터개수,역외엘리베이터용량최대,엘리베이터총개수,세대,인구,인구밀도,공실면적,공실수,택배_2308,택배_2307,택배_2306,택배_2305,택배_2304,택배_2303,택배_2302,택배_2301,택배_2212,택배_2211,택배_2210,택배_2209
가락시장역,99.2,77.1,44.0,91.0,114.65,48.55,19754.13,4.0,1000.0,2,1000,6.0,286123,661515,107605,30.44,1,3383.562015503876,3424.946869070209,3616.163064833006,3689.1596806387224,3293.369351669941,3650.398076923077,3446.1536842105265,3895.641975308642,3858.4535104364327,3955.5039215686274,3671.9921875,3903.4343220338983
공덕역,85.3,39.75,32.95,64.85,72.05,32.15,15953.14,0.0,0.0,0,0,0.0,181192,375639,57462,22.0,1,2257.41910331384,2261.614068441065,2395.696252465483,2454.8817635270543,2198.772549019608,2464.0711538461537,2318.7890295358648,2542.51646090535,2574.626185958254,2660.887573964497,2426.418467583497,2584.0319829424307
합정역,92.6,46.0,37.3,55.1,74.75,54.5,22750.8,4.0,1000.0,4,1000,8.0,181192,375639,57462,42.41,1,2257.41910331384,2261.614068441065,2395.696252465483,2454.8817635270543,2198.772549019608,2464.0711538461537,2318.7890295358648,2542.51646090535,2574.626185958254,2660.887573964497,2426.418467583497,2584.0319829424307
군자역,99.45,76.65,38.9,76.6,91.5,50.55,19806.0,0.0,0.0,0,0,0.0,170388,351959,56173,128.5,3,1706.4310679611651,1718.7699619771863,1858.085657370518,1886.4228456913827,1690.3221343873518,1872.4357005758156,1744.65611814346,1920.508230452675,1966.655238095238,2047.2618110236222,1878.8899803536347,2000.0255863539446
노원역,37.3,29.45,18.3,27.85,34.25,21.35,17160.940000000002,4.0,1000.0,4,1000,8.0,218367,504423,95384,40.0,1,2077.5669902912623,2089.115969581749,2203.9267326732675,2281.0383064516127,1996.6176470588234,2239.5992292870906,2119.3881856540083,2356.039256198347,2410.4022770398483,2467.5226824457595,2284.1294117647058,2418.4978813559323
태릉입구역,59.8,47.15,29.0,52.35,62.95,34.35,26250.28,0.0,0.0,0,0,0.0,218367,504423,95384,33.0,1,2077.5669902912623,2089.115969581749,2203.9267326732675,2281.0383064516127,1996.6176470588234,2239.5992292870906,2119.3881856540083,2356.039256198347,2410.4022770398483,2467.5226824457595,2284.1294117647058,2418.4978813559323
당산역,96.6,50.3,38.85,60.05,85.2,54.05,6385.0,4.0,750.0,2,750,6.0,190761,398290,66975,34.0,2,2145.622823984526,2167.6091081593927,2287.600790513834,2328.7709163346613,2137.001964636542,2340.5365384615384,2252.23417721519,2487.5717213114754,2476.4231499051234,2514.923529411765,2335.1163708086783,2488.7033898305085
대림역,85.85,58.75,39.35,68.85,80.5,44.1,15835.53,4.0,1000.0,4,1000,8.0,184467,416815,79150,22.0,1,1887.5733590733591,1935.8285714285714,2043.0217821782178,2069.9560878243515,1863.319526627219,2046.4307692307693,1929.57805907173,2169.9482401656314,2201.3631178707224,2248.816568047337,2073.6023622047246,2148.989429175476
동대문역,94.2,62.65,48.8,79.85,89.7,49.7,15245.3,6.0,1000.0,4,1000,10.0,72304,151127,28610,44.400000000000006,2,988.4922178988327,1006.1395793499044,1088.4670658682635,1112.0625,1010.399209486166,1121.2548262548262,1022.3291139240506,1149.5657620041754,1173.7729007633588,1204.092885375494,1113.892644135189,1155.7388535031846
동묘앞역,62.55,47.95,31.65,60.2,73.8,32.45,17927.0,10.0,1000.0,4,1000,14.0,72304,151127,28610,56.0,2,988.4922178988327,1006.1395793499044,1088.4670658682635,1112.0625,1010.399209486166,1121.2548262548262,1022.3291139240506,1149.5657620041754,1173.7729007633588,1204.092885375494,1113.892644135189,1155.7388535031846
종로3가역,69.2,50.45,47.75,78.4,89.5,33.75,30998.42,6.0,1000.0,4,1000,10.0,72304,151127,28610,83.95,2,988.4922178988327,1006.1395793499044,1088.4670658682635,1112.0625,1010.399209486166,1121.2548262548262,1022.3291139240506,1149.5657620041754,1173.7729007633588,1204.092885375494,1113.892644135189,1155.7388535031846
불광역,68.4,40.25,36.25,61.35,60.25,26.3,11122.53,4.0,750.0,2,1000,6.0,215776,471155,92820,26.06,2,1948.430799220273,1941.7009523809525,2064.0238095238096,2106.0020040080162,1863.1122047244094,2074.09633911368,1935.985294117647,2204.8858921161827,2194.998102466793,2259.8126232741615,2111.5623762376235,2205.1286919831223
연신내역,57.7,34.65,32.0,51.5,47.3,20.95,6782.0,2.0,1000.0,0,0,2.0,215776,471155,92820,22.0,1,1948.430799220273,1941.7009523809525,2064.0238095238096,2106.0020040080162,1863.1122047244094,2074.09633911368,1935.985294117647,2204.8858921161827,2194.998102466793,2259.8126232741615,2111.5623762376235,2205.1286919831223
사당역,101.8,83.9,46.2,83.85,95.85,64.6,27055.0,4.0,1000.0,6,1000,10.0,187199,390740,69944,144.98,4,1799.3067961165048,1820.3688212927757,1967.7643564356435,1995.5258964143427,1786.3163064833007,1995.7471042471043,1833.9159663865546,2056.103305785124,2060.3206831119546,2142.3136094674555,1984.9724409448818,2091.1507430997876
이수역,90.2,56.9,32.75,64.85,73.8,42.1,22783.32,4.0,1000.0,4,1000,8.0,187199,390740,69944,414.05999999999995,9,1799.3067961165048,1820.3688212927757,1967.7643564356435,1995.5258964143427,1786.3163064833007,1995.7471042471043,1833.9159663865546,2056.103305785124,2060.3206831119546,2142.3136094674555,1984.9724409448818,2091.1507430997876
왕십리역,73.65,42.0,39.1,64.3,68.65,37.65,23094.75,4.0,1000.0,0,0,4.0,133366,285543,48988,66.05,2,1891.8468992248063,1934.1882129277567,2068.477227722772,2085.165338645418,1921.0471512770137,2075.5268199233715,1950.8987341772151,2112.794238683128,2179.7604562737642,2233.919449901768,2047.7283464566929,2170.363829787234
충무로역,63.4,48.15,43.6,63.95,78.95,35.4,10000.0,6.0,1000.0,2,600,8.0,64609,131825,25737,17.57,1,1204.7519379844962,1241.6851145038167,1317.7391304347825,1350.7858585858585,1242.150495049505,1343.84332688588,1234.2742616033756,1306.652977412731,1408.88,1449.9527559055118,1321.1069306930692,1353.7733050847457
