역명,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분,역면적,역내엘리베이터개수,역내엘리베이터용량최대,역외엘리베이터개수,역외엘리베이터용량최대,엘리베이터총개수,세대,인구,인구밀도,공실면적,공실수,택배_2308,택배_2307,택배_2306,택배_2305,택배_2304,택배_2303,택배_2302,택배_2301,택배_2212,택배_2211,택배_2210,택배_2209
가락시장역,24.25,29.95,39.65,52.9,77.95,99.2,95.75,77.1,64.45,47.95,41.5,38.0,39.1,41.3,40.95,42.7,41.05,39.9,44.0,46.35,49.5,58.0,65.95,88.4,91.0,114.65,95.1,70.8,48.5,42.8,45.05,48.55,44.3,46.15,38.0,28.45,21.35,10.5,6.75,19754.13,4.0,1000.0,2,1000,6.0,286123,661515,107605,30.44,1,3383.562015503876,3424.946869070209,3616.163064833006,3689.1596806387224,3293.369351669941,3650.398076923077,3446.1536842105265,3895.641975308642,3858.4535104364327,3955.5039215686274,3671.9921875,3903.4343220338983
공덕역,18.0,19.55,23.15,45.15,69.15,85.3,60.15,39.75,33.25,25.9,28.6,32.65,34.15,28.6,31.05,32.95,32.4,30.3,29.55,32.25,34.15,39.8,46.2,60.75,64.85,72.05,63.0,44.65,39.1,32.65,30.5,32.15,29.7,28.85,22.85,18.1,13.65,12.8,5.75,15953.14,0.0,0.0,0,0,0.0,181192,375639,57462,22.0,1,2257.41910331384,2261.614068441065,2395.696252465483,2454.8817635270543,2198.772549019608,2464.0711538461537,2318.7890295358648,2542.51646090535,2574.626185958254,2660.887573964497,2426.418467583497,2584.0319829424307
합정역,23.65,27.75,27.8,40.2,69.25,92.6,67.8,46.0,36.35,30.3,31.0,32.05,31.8,34.0,36.25,37.3,34.75,34.65,33.75,35.2,36.4,44.15,47.15,50.45,55.1,73.55,74.75,49.45,36.55,30.55,45.85,43.05,36.35,54.5,37.8,32.75,17.85,13.45,10.95,22750.8,4.0,1000.0,4,1000,8.0,181192,375639,57462,42.41,1,2257.41910331384,2261.614068441065,2395.696252465483,2454.8817635270543,2198.772549019608,2464.0711538461537,2318.7890295358648,2542.51646090535,2574.626185958254,2660.887573964497,2426.418467583497,2584.0319829424307
군자역,54.85,41.6,45.35,66.4,85.05,99.45,76.15,76.65,69.05,48.85,39.95,35.95,34.65,35.45,37.55,38.9,35.05,33.95,36.7,38.9,43.05,48.85,58.65,68.85,76.6,88.45,91.5,55.85,52.35,45.15,45.8,50.25,48.95,50.55,42.45,26.95,23.4,18.9,11.4,19806.0,0.0,0.0,0,0,0.0,170388,351959,56173,128.5,3,1706.4310679611651,1718.7699619771863,1858.085657370518,1886.4228456913827,1690.3221343873518,1872.4357005758156,1744.65611814346,1920.508230452675,1966.655238095238,2047.2618110236222,1878.8899803536347,2000.0255863539446
노원역,20.25,16.5,22.95,27.55,37.3,36.75,31.75,29.45,22.7,17.95,15.8,17.35,16.2,17.95,17.65,18.3,17.2,17.0,17.0,18.7,20.0,21.4,25.6,26.2,27.85,33.7,34.25,25.95,18.7,19.3,19.1,18.55,20.65,21.35,16.85,12.25,8.6,7.2,6.7,17160.940000000002,4.0,1000.0,4,1000,8.0,218367,504423,95384,40.0,1,2077.5669902912623,2089.115969581749,2203.9267326732675,2281.0383064516127,1996.6176470588234,2239.5992292870906,2119.3881856540083,2356.039256198347,2410.4022770398483,2467.5226824457595,2284.1294117647058,2418.4978813559323
태릉입구역,25.45,26.5,34.75,45.55,59.4,59.8,49.6,47.15,33.6,28.05,24.2,24.5,24.6,29.0,26.85,27.75,26.55,25.65,26.05,28.75,30.45,35.0,42.95,44.45,52.35,55.95,62.95,40.1,31.45,31.35,32.1,30.25,34.35,33.6,30.05,20.0,15.3,12.05,6.95,26250.28,0.0,0.0,0,0,0.0,218367,504423,95384,33.0,1,2077.5669902912623,2089.115969581749,2203.9267326732675,2281.0383064516127,1996.6176470588234,2239.5992292870906,2119.3881856540083,2356.039256198347,2410.4022770398483,2467.5226824457595,2284.1294117647058,2418.4978813559323
당산역,21.45,28.9,29.55,41.3,71.95,96.6,69.95,50.3,38.1,33.05,33.2,32.7,34.35,35.9,36.65,38.85,37.4,34.4,37.75,35.2,37.7,47.1,52.4,56.1,60.05,77.8,85.2,55.05,37.45,32.15,47.7,43.1,37.9,54.05,38.05,37.9,17.1,12.55,9.95,6385.0,4.0,750.0,2,750,6.0,190761,398290,66975,34.0,2,2145.622823984526,2167.6091081593927,2287.600790513834,2328.7709163346613,2137.001964636542,2340.5365384615384,2252.23417721519,2487.5717213114754,2476.4231499051234,2514.923529411765,2335.1163708086783,2488.7033898305085
대림역,56.2,39.5,33.15,46.2,62.1,85.85,69.85,58.75,39.8,30.85,31.05,28.55,30.7,33.8,35.5,39.35,34.05,33.95,35.55,35.55,41.9,46.05,48.2,54.35,68.85,75.75,80.5,56.15,42.05,32.5,35.9,41.5,43.75,44.1,36.95,27.65,22.7,10.2,16.6,15835.53,4.0,1000.0,4,1000,8.0,184467,416815,79150,22.0,1,1887.5733590733591,1935.8285714285714,2043.0217821782178,2069.9560878243515,1863.319526627219,2046.4307692307693,1929.57805907173,2169.9482401656314,2201.3631178707224,2248.816568047337,2073.6023622047246,2148.989429175476
동대문역,38.25,30.25,32.8,49.45,64.5,94.2,83.5,56.25,62.65,39.7,41.85,39.65,44.0,42.5,48.8,44.55,48.65,42.75,48.15,51.2,55.55,54.3,71.7,79.0,79.85,83.75,89.7,64.6,41.5,39.7,35.6,37.55,38.5,49.7,45.4,31.85,26.8,14.05,9.75,15245.3,6.0,1000.0,4,1000,10.0,72304,151127,28610,44.400000000000006,2,988.4922178988327,1006.1395793499044,1088.4670658682635,1112.0625,1010.399209486166,1121.2548262548262,1022.3291139240506,1149.5657620041754,1173.7729007633588,1204.092885375494,1113.892644135189,1155.7388535031846
동묘앞역,13.25,16.4,19.85,27.55,44.6,62.55,56.6,47.95,41.95,37.2,25.55,30.8,28.75,29.05,30.25,29.6,31.65,28.25,28.8,33.8,34.5,36.55,42.8,53.2,60.2,68.0,73.8,50.5,33.75,26.85,28.55,30.1,32.45,31.65,28.35,20.2,13.95,11.5,7.9,17927.0,10.0,1000.0,4,1000,14.0,72304,151127,28610,56.0,2,988.4922178988327,1006.1395793499044,1088.4670658682635,1112.0625,1010.399209486166,1121.2548262548262,1022.3291139240506,1149.5657620041754,1173.7729007633588,1204.092885375494,1113.892644135189,1155.7388535031846
