"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202301","1호선","동대문","717","11","9399","1791","7814","5063","11183","9014","16599","17592","15856","17949","14762","19182","16202","22712","20659","24383","23274","22843","25345","22145","26123","20775","26143","19223","24927","18605","22197","18937","15214","17540","12668","11915","11599","11037","8798","9563","4311","7667","529","2104","5","254","0","0","0","0","20230203"
"202301","1호선","동묘앞","176","5","2429","929","3063","4244","5788","6332","9991","14025","8011","13723","8796","16620","13006","23271","18964","27914","23805","30939","28823","29406","31650","24497","32044","16925","25537","11824","15881","9196","7227","7135","4744","5230","4077","5289","3044","5416","1264","3400","80","1320","3","330","0","0","0","0","20230203"
"202301","1호선","서울역","555","27","6560","7430","11059","41800","36434","93151","63029","202219","52580","139333","54340","71568","70370","63901","79634","75747","80020","73989","66182","67327","89582","72003","102705","73714","151337","85479","199627","89122","104878","60753","75312","42075","78469","35664","51553","24666","21933","12316","3388","2777","69","235","0","5","0","0","20230203"
"202301","1호선","시청","95","0","2103","3753","3123","19320","6859","60501","8173","184328","9615","82438","12041","35900","17962","36576","20148","34129","24288","33198","31376","29226","40530","26343","46960","24462","80282","24668","152460","23279","56004","11948","47529","7707","44866","7006","28432","4998","9485","3160","353","703","1","22","0","0","0","0","20230203"
"202301","1호선","신설동","273","6","7568","1962","8198","6829","18129","18696","27315","49942","17320","29873","15380","19287","17539","17135","19870","17334","21693","17830","21898","17409","23049","18139","26605","19661","35133","21514","47381","27069","18433","19994","12902","13005","11208","12550","7695","11005","3532","7998","319","1941","3","28","1","0","0","0","20230203"
"202301","1호선","제기동","340","4","4316","1592","7076","6999","19395","17079","29862","34588","20551","29581","22112","35656","30491","44807","39259","50741","41447","54774","46313","49420","51651","40325","49799","31849","41913","25595","37002","25656","18586","17378","12335","11739","8499","10280","5197","9309","2092","6220","126","1275","1","22","1","0","0","0","20230203"
"202301","1호선","종각","82","2","3427","4474","4126","21088","5752","95993","9031","249263","10920","139709","15416","57240","24362","54448","30366","48016","39219","48212","48939","41486","63383","36889","72690","37849","132987","44160","209664","47416","88738","24403","76068","11405","82420","7793","63327","5373","28764","3476","1215","780","10","7","0","0","0","0","20230203"
"202301","1호선","종로3가","113","9","3311","2654","3362","11670","4454","21952","7217","64408","11937","62972","16867","55374","28224","60745","39460","65204","48134","63956","54428","54057","65705","43932","71569","39069","80140","35817","93197","36974","53430","18164","42416","9076","44549","7128","34074","5335","15155","3433","1323","1571","25","45","0","5","0","0","20230203"
"202301","1호선","종로5가","30","1","1612","3061","2467","11638","4823","35975","7992","90323","10639","56425","17613","50500","28335","53477","38393","55360","46847","52295","54672","47484","60025","41297","62636","37066","80856","32112","92867","29858","47429","15272","33020","7662","30130","5754","18865","4525","6194","2703","257","748","0","10","0","0","0","0","20230203"
"202301","1호선","청량리(서울시립대입구)","724","14","9251","3010","12913","18821","32353","14435","41996","31230","26793","26451","25078","32733","31307","39052","37894","42549","41229","46459","43929","46655","49436","44100","54108","37813","47252","36061","38582","42903","20371","28824","15802","16844","12320","16603","7366","13866","2879","8165","210","3212","3","50","0","1","0","0","20230203"
"202301","2호선","강남","245","21","9990","10730","18054","47936","35416","136280","57921","276045","48560","302690","47708","147895","64637","103310","82398","102799","97932","117504","108589","103435","135040","99943","157843","106143","231269","135067","300509","179727","204335","107320","157981","54656","181108","44639","176597","36350","85590","22362","14758","6454","92","208","2","10","0","0","20230203"
"202301","2호선","강변(동서울터미널)","29","4","7661","2128","23484","18515","69065","20650","107135","39991","77873","35752","62201","35160","54489","35020","52289","39613","50902","44036","47810","48398","48219","55993","50979","61951","55792","75026","58548","103229","40165","74463","32638","49076","25722","42222","17237","38243","7640","21129","1040","5337","26","118","0","6","0","0","20230203"
"202301","2호선","건대입구","284","3","15283","1597","20583","14273","46591","22621","86240","55175","57858","48832","34048","37464","33672","44640","40046","51631","44381","58279","45384","58933","50351","65432","58948","78304","69527","103723","82936","151606","62605","104342","63776","59616","72915","53423","76638","47142","47329","28092","7984","9952","82","843","0","17","0","0","20230203"
"202301","2호선","교대(법원.검찰청)","28","0","2444","6483","10687","21831","21629","47710","34827","143249","27572","134654","25361","64398","30883","55201","34598","49298","42876","52631","50554","46566","55312","42653","57932","45386","93425","57641","129789","71072","64605","41882","51230","24042","53116","21815","42426","20464","17193","10801","3057","3052","16","59","0","3","0","0","20230203"
"202301","2호선","구로디지털단지","199","7","31242","4563","47433","18147","126701","73580","176660","226783","105957","139492","62303","59520","57967","43994","63222","46937","63723","57768","59497","57060","64592","64146","75219","76452","129902","99786","209418","152738","100832","133555","63248","80905","53248","80414","40674","74620","19209","43725","3099","12335","22","352","0","2","0","0","20230203"
"202301","2호선","구의(광진구청)","42","2","11938","1514","23384","17821","60252","13252","108776","36353","65381","22289","33564","18090","29512","18432","29834","22423","29773","25998","27785","26161","28955","34096","35940","39338","35588","53016","41675","89397","22589","64323","17266","41795","16166","39915","14745","37165","7978","21813","1255","6942","23","219","0","2","0","0","20230203"
"202301","2호선","낙성대(강감찬)","27","1","10175","2020","23011","8722","74412","13316","119674","35118","77717","28395","41879","22827","34741","22637","38152","25407","37559","27024","33536","30116","33508","35264","36923","40044","41766","55495","47695","93233","26199","85175","20225","52739","19194","49551","14802","49396","7646","30880","1299","8468","12","264","2","7","0","0","20230203"
"202301","2호선","당산","13","1","5515","2607","14814","10772","38230","23646","51382","67374","31136","32096","20686","17350","20876","16132","22489","18205","21553","20060","20515","20095","21410","22950","24545","28462","37298","41231","53561","66921","24106","46999","17777","29021","17908","29008","15545","26375","7527","17709","1254","4322","7","244","1","13","0","0","20230203"
"202301","2호선","대림(구로구청)","512","15","26904","3181","26760","9478","57799","19235","87192","49472","57257","31929","34260","29524","31122","34448","34090","31770","33938","33618","31867","32730","32295","39258","35790","46016","42529","54404","50369","62745","25767","51922","18787","35393","14582","43918","10517","40649","5306","19901","849","5329","18","275","0","0","0","0","20230203"
"202301","2호선","도림천","0","0","298","427","1210","860","3029","2358","3478","5387","2058","1907","1947","1357","1522","1300","2408","1735","1549","1747","1938","1769","2120","1742","2534","1979","2903","2106","3475","3173","1760","2764","834","1592","730","1530","377","1179","155","855","36","286","2","6","0","0","0","0","20230203"
"202301","2호선","동대문역사문화공원(DDP)","261","5","4347","1165","3500","6976","6027","16018","10678","41478","10496","27697","11600","24262","14704","25763","18376","25136","19560","26506","23331","27221","27462","24666","31730","23152","39235","24524","42810","27366","25618","24160","19510","16571","20538","14460","14806","12389","7089","8045","1444","2762","11","184","0","2","0","0","20230203"
"202301","2호선","뚝섬","14","0","2672","2048","7053","14143","15079","33021","22485","131966","15580","87613","12626","37503","14056","28965","18232","30041","22054","31944","26722","27588","32918","28649","40693","29292","65331","33225","123525","39922","58224","23398","37591","12587","35025","11131","24845","10473","9700","6887","1503","2350","14","113","0","0","0","0","20230203"
"202301","2호선","문래","8","0","3655","1891","12022","10190","39403","32706","45661","119920","25041","58184","17993","22968","17681","20227","20679","21803","22590","23978","22789","22105","25571","23613","32009","27247","54879","34430","102040","54118","37160","39429","25319","20130","26478","17683","20637","15821","10019","9863","1638","3092","14","81","0","13","0","0","20230203"
"202301","2호선","방배","3","0","2190","2362","8290","10686","19545","23091","28224","64914","22895","43713","17069","21964","18093","18532","19667","19372","22112","21165","22816","20362","24655","20888","28455","21001","38426","26485","59948","33720","25737","25452","19098","16024","18185","14693","13799","15572","5937","8873","1095","2497","11","41","0","1","0","0","20230203"
"202301","2호선","봉천","44","3","13377","1405","24227","6241","73687","9702","114692","23586","69848","19599","38322","17934","30943","20409","33876","22510","33637","25108","29106","27730","28345","35373","29881","39544","29882","51866","31773","79464","19175","72937","15369","43158","13750","40318","10543","38230","4545","23517","836","7226","5","413","0","0","0","0","20230203"
"202301","2호선","사당","60","9","11127","3719","23472","31126","66120","38013","90763","61483","71418","46379","44230","39526","41371","49364","47585","50622","48939","49152","51965","49669","55273","60403","59936","77159","72510","109487","90635","156539","61283","115116","57220","64755","63059","59966","60501","55845","34101","35230","5654","9967","37","652","2","17","0","0","20230203"
"202301","2호선","삼성(무역센터)","157","1","4506","4927","6513","38671","12737","123732","17652","317326","18535","223475","21576","99559","32160","75775","39415","70707","52872","74011","67721","63802","88244","56430","112298","53324","197811","57012","292287","57051","150439","31601","112872","17118","97631","14379","60661","10883","17291","6059","2767","3872","18","905","0","22","0","0","20230203"
"202301","2호선","상왕십리","52","2","5077","533","12300","5645","35684","10493","59325","29825","33869","16665","20201","12649","18288","11652","20125","13702","19379","14922","18130","16160","18810","18499","19986","21612","24130","31672","26147","50341","16292","34036","11138","21540","9906","20714","6981","19591","2661","11998","432","4002","3","93","1","1","0","0","20230203"
"202301","2호선","서울대입구(관악구청)","4136","19","25058","2647","37476","12563","115473","22634","165427","57913","113632","55845","64814","45940","56539","44969","61640","48167","67516","53960","59783","57109","60807","63787","66781","74931","75313","100125","85823","162442","51884","142421","43859","82269","45636","76419","41753","74616","21704","45657","3488","17375","35","2997","0","40","0","0","20230203"
"202301","2호선","서초","29","1","1657","4907","8141","18104","15925","43243","26023","106184","26078","86075","19242","39288","25956","32428","23639","23685","32178","26415","32855","23508","40130","18751","43086","21208","66960","23288","92345","24357","42094","17617","28907","10401","26925","9865","17786","9987","6838","5418","818","1388","4","34","0","0","0","0","20230203"
"202301","2호선","선릉","88","1","4566","5798","9931","36434","18024","104243","29739","268579","27808","219943","31225","100427","41250","59486","49400","54688","57694","60734","68272","51058","89465","43838","111840","43229","180478","48079","280229","54740","140909","35185","89343","21111","88780","18403","73010","16264","26570","9836","4304","4133","14","220","0","6","0","0","20230203"
"202301","2호선","성수","31","1","4574","3780","8522","27658","19415","69843","29342","258049","21200","150290","19072","64894","22096","48614","27728","52769","34445","58297","41578","54639","52817","53488","67393","54961","122725","57840","232772","63585","108498","37870","75258","18791","68378","14945","51357","13113","21148","10430","3238","4998","15","875","0","8","0","0","20230203"
"202301","2호선","시청","79","3","925","1567","1831","14370","4912","60954","7102","208659","9423","84331","13267","26275","19837","23660","20585","23002","24517","24233","30087","22884","36032","21018","43267","18443","88932","19758","161892","20035","54353","10646","41819","6917","40026","6902","24971","5513","10048","3581","1330","1242","11","84","1","4","0","0","20230203"
"202301","2호선","신답","9","0","1114","143","1624","582","5599","838","10878","1676","4701","857","2390","984","2026","1128","2127","1430","2015","1515","1794","1787","1756","2441","1869","3426","1963","4324","2041","9409","960","6577","558","3176","516","3504","428","2851","155","1893","25","517","0","9","0","0","0","0","20230203"
"202301","2호선","신당","32","1","5107","961","9759","6702","24108","12983","43635","28043","25064","19867","17317","17631","16919","18258","19991","19696","20818","21012","21185","22029","22114","23029","25457","26399","28218","33177","30463","48492","20114","31870","15899","19838","14695","17552","12436","16729","6100","10235","1087","3240","5","83","0","0","0","0","20230203"
"202301","2호선","신대방","148","1","20590","1687","29784","8277","79142","14457","122968","24749","76305","17396","42130","16840","34333","18051","34766","20874","34232","24057","29680","27221","28257","36650","29822","42182","32647","55713","33114","83774","19710","80133","14954","51980","12005","54963","9497","50535","4558","29141","830","8335","22","310","0","0","0","0","20230203"
"202301","2호선","신도림","3176","19","29141","4535","46035","18327","124404","37443","134855","104674","81895","60325","55400","57175","54926","57363","61613","58811","65505","65318","66366","60916","70396","69710","78307","79686","96033","104481","117360","164205","68289","121149","57407","66770","59881","64037","48559","60705","19757","45990","2461","19495","41","2314","0","38","0","0","20230203"
"202301","2호선","신림","214","5","34268","4050","63690","16887","170489","21767","256849","41625","158420","40851","85500","38325","71809","43950","75308","50480","73069","58145","68337","63499","66983","80252","72307","95773","76264","125883","78769","210082","53507","197630","45074","119875","44268","113307","39453","103823","22913","66600","4395","19813","85","832","0","1","0","0","20230203"
"202301","2호선","신설동","39","2","1354","295","1372","1893","4463","5111","8114","12841","4412","8136","3817","6924","4825","6487","5603","6484","6565","7011","7317","6167","8205","5480","8751","4690","10318","4995","11872","6777","4178","5229","2755","3557","2313","3048","1699","2862","689","2139","112","792","1","142","0","0","0","0","20230203"
"202301","2호선","신정네거리","47","1","7236","863","16406","2692","45231","4222","41974","10457","22783","7856","15793","6978","14379","8510","15058","9843","14920","11076","12451","12152","11566","16024","12534","20038","12995","27012","11482","45003","6943","34870","4933","19357","4276","18356","3325","16097","1415","10463","262","2907","2","179","0","0","0","0","20230203"
"202301","2호선","신촌","62","5","6515","2748","13533","13048","33468","31188","49868","69449","35105","84078","32649","55565","39841","54370","51051","60241","54740","68901","56297","59297","65200","56849","74651","61574","89276","78368","88792","105411","60917","70497","64237","38833","66781","34655","65077","30339","32273","20276","5066","5888","69","180","1","4","0","0","20230203"
"202301","2호선","아현","19","0","4130","821","8993","4937","25696","8037","37483","17027","22001","12424","15770","9838","15489","9638","16701","10578","15786","12571","14734","12819","15897","15059","17011","16748","18001","21677","18450","31119","11253","23631","8172","16083","6150","15293","4098","13825","2049","8507","364","2379","6","68","0","5","0","0","20230203"
"202301","2호선","양천구청","29","4","4307","954","10304","2086","29795","4126","27552","9177","16206","4845","11009","4376","9859","5050","10272","6385","9165","7379","7693","7929","7566","9704","8185","12172","8915","17439","9031","27414","4210","23474","2775","12866","2326","12880","1898","10250","658","8019","116","2601","1","39","0","0","0","0","20230203"
"202301","2호선","역삼","27","1","3508","6910","8440","36742","13538","136190","24628","347991","21857","301567","22312","131097","30432","65322","39041","56882","46327","60983","57760","50944","76618","45323","94458","41380","200086","49124","275604","58987","155009","35111","90862","20837","85575","17646","57454","14705","22502","9172","3768","2919","13","119","0","1","0","0","20230203"
"202301","2호선","영등포구청","17","0","4789","2680","10854","11361","34372","34034","44626","117992","26488","51360","20316","25239","21317","22612","23592","22975","24969","26279","27559","24381","28818","25046","34344","27663","52395","33182","98370","50738","34734","35219","25882","20344","24730","18161","18301","16588","8232","11122","1436","3886","14","193","1","9","0","0","20230203"
"202301","2호선","왕십리(성동구청)","727","0","6357","1073","8769","6308","21995","10504","43027","24062","27281","16560","17085","13549","17196","15059","19930","17045","21473","18273","20917","19378","22159","21205","26070","24473","31099","34099","34554","54164","21178","33008","21120","19977","24384","17324","24675","16792","13727","11479","2217","4283","23","113","0","0","0","0","20230203"
"202301","2호선","용답","0","0","2068","187","2824","1152","6805","1450","12597","2697","6528","2292","4663","1989","4015","2296","4229","2674","4791","3132","3925","3321","3942","4319","4603","5551","4224","6215","3415","10262","2173","7159","1552","4713","1221","5541","898","4833","403","2970","71","963","0","6","0","0","0","0","20230203"
"202301","2호선","용두(동대문구청)","23","0","1065","56","1465","1016","4570","2360","8736","5160","4357","3040","3291","3068","3481","3523","3771","3592","3959","4229","4355","4331","4637","4424","4904","4110","4898","4463","5514","7646","2295","5023","1727","2731","1475","2802","807","2090","371","1259","52","529","0","27","0","0","0","0","20230203"
"202301","2호선","을지로3가","25","1","970","1583","2242","18430","5271","66187","9982","173069","11760","71074","15005","30477","19421","25760","21070","23356","23841","26525","28433","23869","33578","22390","40422","24156","82297","28767","133476","33250","52650","19807","38649","11273","42595","9787","35141","8229","20185","5347","3123","1434","28","100","0","0","0","0","20230203"
